anio,gen_biodiesel_GWh,gen_biogas_GWh,gen_biomasa_GWh,gen_eolico_GWh,gen_hidro_lte50mw_GWh,gen_solar_GWh,gen_renovable_total_GWh,demanda_MEM_GWh,factor_expost,factor_exante,co2_arg_MtCO2,pbi_arg,poblacion_arg,share_renewables_arg,ratio_renovable_pct
1990,,,,,,,,,,,101.126953398,4333.482973121461,32618651.0,35.776885,
1991,,,,,,,,,,,105.635924828,5735.360327352233,33079000.0,30.736236,
1992,,,,,,,,,,,108.945323118,6823.537616046798,33529326.0,35.132871,
1993,,,,,,,,,,,108.252772538,6969.118087810046,33970111.0,39.222215,
1994,,,,,,,,,,,116.102660435,7483.139681708444,34402672.0,42.872572,
1995,,,,,,,,,,,120.229591942,7408.708238187651,34828170.0,40.350459,
1996,,,,,,,,,,,126.874924592,7721.35454273963,35246374.0,33.469516,
1997,,,,,,,,,,,132.21482575,8213.127199944785,35657429.0,39.525834,
1998,,,,,,,,,,,136.055005825,8289.505729331177,36063459.0,36.524694,
1999,,,,,,,,,,,139.697325653,7774.736202800005,36467218.0,27.543842,
2000,,,,,,,,,,,139.521994832,7708.100996054139,36870787.0,33.209706,
2001,,,,,,,,,,,129.711256079,7208.371566512103,37275652.0,41.844727,
2002,,,,,,,,,,,122.96856449600001,2593.404150424658,37681749.0,43.589258,
2003,,,,,,,,,,,132.663843236,3349.806124411496,38087868.0,37.970627,
2004,,,,,,,,,,,147.734608623,4277.721350643886,38491972.0,31.692768,
2005,,,,,,,,,,,150.20952878699998,5109.851325226213,38892931.0,33.687943,
2006,,,,,,,,,,,160.137963631,5919.012037077532,39289878.0,37.249244,
2007,,,,,,,,,0.513947546765837,0.51,166.687695348,7245.448317289446,39684295.0,30.06357,
2008,,,,,,,,,0.5341300634022265,0.525,178.18658682900002,9020.873098071945,40080160.0,26.538831,
2009,,,,,,,,,0.5246902917005374,0.5242559672895336,171.142574356,8225.137176264117,40482788.0,29.176611,
2010,,,,,,,,,0.5147786440957471,0.5245329997328371,174.594112729,10385.964431955525,40788453.0,28.773668,
2011,32.493712324784,0.0,97.634366,15.976122999999998,1255.439872,1.7631940000000002,1403.307267324784,116349.39249500001,0.5681338331447553,0.5358675896470132,181.83492877100002,12848.86419697053,41261490.0,32.4816,1.206114821257094
2012,170.21968851898703,35.640717,127.089365,348.351623,1452.6241730000002,8.062296,2141.987862518987,121293.22125,0.5853724227958405,0.556094966678781,188.73958228,13082.664325571988,41733271.0,29.48522,1.7659584273914957
2013,2.220187863912,108.481127,133.884737,446.929391,1274.0408570000002,15.011556,1980.5678558639122,125166.352615,0.562433840238664,0.5719800320597533,183.983333171,13080.254732336658,42202935.0,31.675594,1.5823484622548314
2014,1.6262527110050002,103.047123,113.764106,613.281155,1456.9008410000001,15.748637,2304.368114711005,126467.08000500001,0.5308918348078854,0.55956603261413,187.411829906,12334.79824538929,42669500.0,31.790498,1.822109053691996
2015,0.0,83.600253,154.856677,592.950963,1623.800901,14.670648000000002,2469.879442,132106.76843799997,0.5275499162124648,0.5402918637530048,193.243206743,13789.060424772022,43131966.0,28.38216,1.869608553144768
2016,0.8775801314300001,57.510292,193.216935,546.770473,1820.118533,14.263319000000001,2632.7571321314304,132961.36707899993,0.516768150038014,0.5250699670194546,193.671006489,12790.242473244707,43590368.0,27.219807,1.9800918040855875
2017,0.0,64.05364800000001,242.615131,615.817755,1695.874566,16.405158,2634.766258,132507.45265399996,0.4797525195348172,0.5080235285950987,188.22538273700002,14591.863381054129,44044811.0,29.916396,1.9883909963010409
2018,0.0,146.67480500000002,241.431176,1443.867342,1430.683376,109.32207100000001,3371.97877,132889.02961700005,,,185.414433833,11652.566289748715,44494502.0,30.737978,2.537439531102298
2019,0.0,164.251822,172.64675300000002,2768.940795,924.072446,386.41335200000003,4416.325168,86628.20909499998,,,,,,,5.09802201169469
